row_type,objective_slot,objective_name,objective_display_name,objective_numerical_aperture,objective_um_per_pixel,objective_backlash_x,objective_backlash_y,objective_backlash_z,objective_dof_steps,objective_focus_stack_step,objective_autofocus_range_steps,stage_um_per_step_x,stage_um_per_step_y,workflow,rep,success,status,reason,duration_s
trial,40x,40x,63x,0.65,0.2331875992359167,100,130,20,19,10,200,2.2647613696231015,3.2719607095945618,autofocus,7,1,success,,14.253
trial,40x,40x,63x,0.65,0.2331875992359167,100,130,20,19,10,200,2.2647613696231015,3.2719607095945618,autofocus,8,1,success,,14.364
trial,40x,40x,63x,0.65,0.2331875992359167,100,130,20,19,10,200,2.2647613696231015,3.2719607095945618,autofocus,9,1,success,,14.134
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,focus_stacking,0,1,success,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,focus_stacking,1,1,success,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,focus_stacking,2,1,success,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,focus_stacking,3,1,success,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,focus_stacking,4,1,success,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,focus_stacking,5,1,success,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,focus_stacking,6,1,success,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,focus_stacking,7,1,success,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,focus_stacking,8,1,success,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,focus_stacking,9,1,success,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,focus_stacking,0,1,success,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,focus_stacking,1,1,success,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,focus_stacking,2,1,success,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,focus_stacking,3,1,success,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,focus_stacking,4,1,success,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,focus_stacking,5,1,success,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,focus_stacking,6,1,success,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,focus_stacking,7,1,success,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,focus_stacking,8,1,success,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,focus_stacking,9,1,success,,
trial,20x,20x,40x,0.4,0.36727046879656877,100,130,20,50,25,500,2.2647613696231015,3.2719607095945618,focus_stacking,0,1,success,,
trial,20x,20x,40x,0.4,0.36727046879656877,100,130,20,50,25,500,2.2647613696231015,3.2719607095945618,focus_stacking,1,1,success,,
trial,20x,20x,40x,0.4,0.36727046879656877,100,130,20,50,25,500,2.2647613696231015,3.2719607095945618,focus_stacking,2,1,success,,
trial,20x,20x,40x,0.4,0.36727046879656877,100,130,20,50,25,500,2.2647613696231015,3.2719607095945618,focus_stacking,3,1,success,,
